run,script,symbol,start_date,end_date,granularity,trend_filter_window,sl_atr,tsl_atr,wfo_test_days,wfo_window_years,oos_mean_sharpe,oos_mean_return,oos_mean_drawdown,oos_std_sharpe,oos_std_return,oos_std_drawdown,error
1,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,1.5,2.0,180,2.0,,,,,,,Report file not found
2,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,1.5,2.5,180,2.0,,,,,,,Report file not found
3,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,1.5,3.0,180,2.0,,,,,,,Report file not found
4,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,1.5,3.5,180,2.0,,,,,,,Report file not found
5,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.0,2.0,180,2.0,,,,,,,Report file not found
6,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.0,2.5,180,2.0,,,,,,,Report file not found
7,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.0,3.0,180,2.0,,,,,,,Report file not found
8,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.0,3.5,180,2.0,,,,,,,Report file not found
10,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.5,2.5,180,2.0,,,,,,,Report file not found
11,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.5,3.0,180,2.0,,,,,,,Report file not found
12,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,2.5,3.5,180,2.0,,,,,,,Report file not found
15,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,3.0,3.0,180,2.0,,,,,,,Report file not found
16,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,0,3.0,3.5,180,2.0,,,,,,,Report file not found
17,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,50,1.5,2.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
18,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,50,1.5,2.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
19,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,50,1.5,3.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
20,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,50,1.5,3.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
21,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,50,2.0,2.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
